a,b,c,Lmax,k_learning,n,Gmax,growth_rate,Subphylum,R2,RMSE,AIC,Species
0.5417766816012092,0.0555537689378289,2.051960733825906e-15,0.9999999999998672,0.7753086734582975,3.6436212081886403e-25,1.8147082225443503e-31,0.525800152540902,PlantNonTree,0.8403000380643652,0.014393153553327208,0.5656187658871019,Great rhododendron (Rhododendron maximum)
0.7209406378185019,0.002385542199715835,6.96927550651687e-08,0.601989453624802,10.999999957717161,0.0698159967357599,0.5733035905555454,3.4484691240928826e-11,VertNonMammal,0.9999753759638347,4.4248370857402113e-07,-125.51582148258453,Desert tortoise (Gopherus agassizii)
0.17389621044286596,0.08201709335925099,4.4586622645821344e-14,0.14865138746492704,9.86088241581714,6.946955026176271,0.2524959735769545,0.9999999999985987,VertNonMammal,0.8013588540159325,0.01783539313846161,-5.396480316516879,Bali mynah (Leucopsar rothschildi)
0.636717297341166,0.047293779499305195,0.3926749835436686,0.5336582974846505,0.8384141024621947,0.09163429755900096,0.638185483613318,0.7032992004772126,Algae,1.0,5.963129781849635e-26,-149.73121963102668,Oarweed (Laminaria digitata)
0.6319453394008163,0.19775326609367852,0.3591947529545618,0.6286826531474203,0.7572877825189035,0.8072875097819184,0.7285666969186086,0.3456735978277864,VertNonMammal,1.0,3.1434664094120613e-25,-198.32569646154613,Common lizard (Lacerta vivipara)
0.3719696707878846,0.013689858074779928,1.386826078663315e-12,0.7799499092877974,53.02494904047429,0.044600275321357186,0.5170337028245309,0.18967064312677867,Human,0.9791964611049446,0.0021335386793592827,-242.34350824551757,Hunter gatherers (Homo sapiens)
0.46505699287202834,0.010311453139262862,0.5431814831340641,0.9999999999502377,8.023168824853762e-10,0.013301773711634372,0.9999999947624357,0.02120126395559339,Invertebrate,0.9457541640155221,0.009437921489828898,-75.25712189105033,Fruit fly (Drosophila melanogaster)
0.0011902513845827225,0.06336612619907937,0.001866407356572518,0.8155494776080867,100.99999999930867,0.06672296343103616,0.0036108061939378777,0.1730586892496111,Human,0.9965510043795869,0.0038930969119811204,-260.4886715353962,Japanese in 2009 (Homo sapiens)
0.8460331767215373,0.10150618806033249,1.057541547416475e-11,0.9999999999781682,1.2935392156440844,4.705000214335689e-12,5.064980439972745e-13,0.02507247636763468,VertNonMammal,0.619982936826486,0.005874845643534384,6.803206294685289,Great tit (Parus major)
0.26256991775573063,3.4167332833354877e-18,0.41270467140146205,0.08760918607197027,5.390211690992943e-12,0.18357121506171517,0.9999999999999999,0.02787928295698826,PlantNonTree,0.9959128736334957,0.0001925921792848231,-92.62411338124988,Viburnum (Viburnum furcatum)
0.9999999999815875,0.010127244987641448,0.00014431111023953343,0.9991524711632506,27.555799089114448,4.5095239084191184e-14,0.9726433252675551,0.004451143760743276,Invertebrate,0.9849650231727864,0.0025046322971240677,-2.9104176583132144,Mediterranean fruit fly (Ceratitis capitata)
0.11965397075727349,0.020040412176583165,0.0005247008341259245,1.8701707291712756e-11,10.899269605791842,0.09016926585176835,0.06086541054961243,0.010686966272159135,PlantNonTree,0.9999946077338531,2.5492108432676287e-08,-306.23443646895134,Borderea (Borderea pyrenaica)
0.7308819042940092,0.15979782976376258,1.2989506163618097e-06,0.9999999921735012,4.27913305381015e-06,0.13740545567680645,0.587187779770819,0.9999999999999999,VertMammal,0.9534939112729213,0.010260107290773254,3.808695590138722,Chamois (Rupicapra rupicapra)
0.044325696120667536,0.18293008768393718,0.01822488767212741,0.13924657985703542,7.214091936152709,0.030273342683013432,0.016690786334591687,0.07523420228017337,VertNonMammal,0.8022783289692348,0.41906146448387765,45.52209084804825,Alpine swift (Apus melba)
0.1031069352274557,0.6597154020319833,0.0107115158843499,0.3225789103180991,1.4695871299663295,0.4128454546123257,0.002327983708768316,0.0466823516897618,VertNonMammal,0.9467868276127357,0.2211696861126077,21.316208019174365,Collared flycatcher (Ficedula albicollis)
0.025468836207472936,0.02519272730594348,3.2461043837165976e-13,0.03088774731851043,13.939348840730942,0.11073198310199402,0.036190627794375485,0.022179225092035876,Invertebrate,0.5968464531322556,0.0005344221253974458,-6634.169614509535,Hydra (Hydra magnipapillata)
0.009705412255573607,0.1559491151740294,0.0050916148845798655,0.033935122061987955,15.2207500892554,0.053054058679188804,0.011147218947557842,0.08019806526253336,PlantTree,0.6469223905519255,0.6836511318918429,89.72708601522275,Scots pine (Pinus sylvestris)
0.5232598831097338,0.002219583823692625,3.3375915124074435e-08,0.11996001632486915,5.292061610635638e-38,9.999999999999998,0.42676761343878933,0.5076775646259408,Invertebrate,0.9998029714607617,5.937132218373918e-06,-204.71377439075042,Red gorgonian (Paramuricea clavata)
8.569883577108181e-05,0.08914338581822633,0.09622905762221134,3.717335754342659e-14,43.86348543469836,0.00028592485368867185,0.16892875960829676,0.053836655782822346,Human,0.9583593381199902,0.010521145513995465,-135.05121873847764,Swedes born in 1881 (Homo sapiens)
0.06958155238258885,0.21480604363883812,1.3266846666396916e-16,0.9999456443578055,10.439755530381984,0.6257019945567027,2.384765069417847e-28,4.120706517435845e-05,VertNonMammal,0.26551641145126303,0.15680829665091392,29.792041287614946,Mute swan (Cygnus olor)
0.2511842548273943,0.0774507827581379,1.9966157520947727e-12,0.9999999999914928,16.406134257748832,0.5403882274498599,0.29925296326107165,2.5730159714334064e-11,VertMammal,0.927437447821911,0.001638751660933077,-12.607547543527595,Tundra vole (Microtus oeconomus)
0.4946820701988405,0.02347812288356677,2.696127687628569e-12,0.04277332116280173,2.970034570755706,0.9780133071144839,0.999999999994578,0.025893538786180927,Invertebrate,0.9969707359091935,0.0017273895328853237,-68.5584052205387,Nematode worm (Caenorhabditis elegans)
0.6135221521627582,0.06266595460296055,3.729564844017492e-12,0.9999999999994671,13.113931987081315,0.3318226652002548,0.9999999999997573,0.6420363338624421,VertNonMammal,0.5978604937254335,0.06348813844599495,17.45754783552198,Freshwater crocodile (Crocodylus johnsoni)
0.15324261726941926,0.74537765342165,0.2247111543339827,0.9007761478568811,1.7082436403225296,8.017315452949747,0.0005120582582690944,0.24919457734229106,PlantNonTree,1.0,7.603074530515155e-27,-213.2134709418177,Hypericum (Hypericum cumulicola)
0.15373557289785822,0.012291823565817594,0.7350025038922468,0.5794405594097043,0.7587424468438257,0.008536026396768648,0.5193233366796807,0.034134581835236766,PlantNonTree,0.9999999908842719,7.854388849556162e-11,-106.57691895108498,Armed saltbush (Atriplex acanthocarpa)
0.5220082997950674,6.165794427541748e-13,0.0063263082646500286,0.30945740882897815,2.006101236217031,2.2706776614949145,6.283472424710312e-12,0.6934444437851078,VertMammal,0.9441924776307213,0.0015008644607014641,-5.983021779988988,Yellow-bellied marmot (Marmota flaviventris)
0.1495280709401042,0.002797001206728066,2.853471275605955e-17,0.03587900149247891,15.27427414749806,0.22724179044116974,0.11736712928460777,0.8329479635760976,PlantNonTree,0.9917179779091317,0.0002562768655743878,-478.2551364052001,Geonoma palm (Geonoma orbignyana)
0.037411152907940635,0.30952800631087135,0.233781673575185,0.36936130499576175,5.438061443742211,9.999999999954488,0.05524780243913872,0.999999999969859,PlantNonTree,0.8914323724939726,0.006399915203011354,-3.9223412464197587,Yellow cryptantha (Cryptantha flava)
0.004994561339648566,0.08752358070796493,4.544645253195357e-22,0.03966564689191268,25.28199137261053,9.999977045354365,5.418777118155969e-28,0.1612994550755483,Invertebrate,0.4788563691756965,0.36076081108830976,101.46183679094872,Water flea (Daphnia longispina)
0.03990972867816061,0.25606454741625767,0.49622988458036943,0.20261320175077305,1.7091279687777094,3.23843047065293,0.6021708652470958,2.019184578125381e-12,VertMammal,0.9702041686611136,0.0019225815857882664,-18.16209353734468,Soay sheep (Ovis aries)
0.10693334125892286,0.0892643410878727,0.014574568356886244,0.24397283153450167,7.410782784970954,0.0010804238824804247,1.6976076574108792e-06,0.14508068387567963,VertMammal,0.864406173803324,0.1414594093210275,30.11415365498009,Red deer (Cervus elaphus)
0.07521558920472254,0.16086974119754374,0.0198238356898052,0.19087867435766775,4.671584736754738,0.0018380951241056592,0.0017429323841695145,0.04545434936338789,VertMammal,0.861119840338488,0.19463004753024485,30.41466822267853,Roe deer (Capreolus capreolus)
0.5100230696343137,0.00875684763293539,1.6130327573046971e-12,0.9999999999965847,15.569612118307424,5.803560116034864e-14,0.018982375958660976,8.208973561165223e-13,Invertebrate,0.7844352001037194,0.03538023393525183,-0.11919717718171796,Human louse (Pediculus humanus)
0.4620720795299288,0.048728685430182765,0.05873162389045968,0.045406329531587214,6.9104124781527005,9.999999999999998,0.7280285748216102,0.9083907886420929,VertMammal,0.9505764159982069,0.004051783946890292,-18.719372320409953,Lion (Panthera leo)
0.41350548951708577,8.631313595283663e-28,0.3902691000423724,0.3977354713760027,1.2274404054330805,1.0119290577595221,0.6564301679878435,0.06694468234526159,PlantTree,0.9998080413351635,1.7381358834577888e-05,-170.811409392222,White mangrove (Avicennia marina)
0.006908947675777044,0.05712318091548929,0.1773148502472246,0.00011184227725521967,10.656888996771368,0.7916122320932777,0.2635495538297383,0.37207753658476683,VertMammal,0.8627414790408052,0.2592294116406147,65.09856213802225,Killer whale (Orcinus orca)
