a1,a2,a3,b1,b3,Subphylum,R2,RMSE,AIC,Species
6.847755951783853e-15,6.825116532420555e-15,0.07854801033241168,1.2732227471889956e-05,0.1734193171243592,PlantNonTree,0.6603508256599822,0.030611295464847886,2.866399472220394,Great rhododendron (Rhododendron maximum)
0.32735328128788904,0.1591756510123897,0.026113766302582105,1.4000972722240193,9.984952026531463e-35,VertNonMammal,0.873430910737259,0.002274393995844833,-28.977974853283285,Desert tortoise (Gopherus agassizii)
0.1331432797713022,2.305693632276054e-10,0.028152372004148777,1.4663690637273457,0.12142292785860648,VertNonMammal,0.587515192525847,0.03703577457982568,1.7561100426284213,Bali mynah (Leucopsar rothschildi)
0.36963200526322193,0.40237177530337576,0.0008042441606699367,1.676690393073369,0.044909723062319815,Algae,0.9999999999998811,1.5987394647192798e-15,-83.69505153293238,Oarweed (Laminaria digitata)
0.5162875915142089,0.01684330322132814,0.23686910592661284,1.6683184179104178,0.2554350503761031,VertNonMammal,0.9999999999999998,2.405820328855863e-18,-140.92305467602162,Common lizard (Lacerta vivipara)
0.2738434266783603,0.013165587811176126,0.00013993035199540626,1.1841409996663788,0.08800583577411118,Human,0.9999593401566604,4.169932284083016e-06,-734.8792281869964,Hunter gatherers (Homo sapiens)
2.0487007618352308e-10,2.7505290088731457e-17,0.007812483189015653,9.99999999575162,0.06306929318993469,Invertebrate,0.8957563570049377,0.018136752813297442,-48.59688954470849,Fruit fly (Drosophila melanogaster)
0.0017545521239297915,7.88128424092027e-05,1.1432940826029068e-05,1.584224244873593,0.09815461510892523,Human,0.9875813391022282,0.014017718696396817,-135.81471832498852,Japanese in 2009 (Homo sapiens)
7.589316639186724e-13,7.664895156434145e-09,0.3574594865040259,9.98922666146899,0.19482442954413995,VertNonMammal,0.5786740745562697,0.006513456940408529,1.2159684909538946,Great tit (Parus major)
0.6276028570554637,0.07258402815367308,0.013386108036083285,2.5661722105469362,6.272671409788116e-27,PlantNonTree,0.915481616841856,0.00398264652041539,-41.07070152827213,Viburnum (Viburnum furcatum)
9.07297490477521e-05,1.1084225513798719e-17,0.061986476904979264,9.99858793043347,0.05107013050313869,Invertebrate,0.8633706381098935,0.022760681074414077,4.33093792252609,Mediterranean fruit fly (Ceratitis capitata)
0.0007231549368808286,4.081076508341701e-12,0.09014945545205873,9.865425578424025,0.024952942662579383,PlantNonTree,0.9998697624198871,6.157022713214937e-07,-242.17775549163767,Borderea (Borderea pyrenaica)
0.18225103422284433,8.598452529456918e-22,0.017748500608720384,9.999999999989468,0.6386086365830559,VertMammal,0.8770816486533499,0.02711807222109542,4.612255152759474,Chamois (Rupicapra rupicapra)
2.0735779891739605e-15,2.7942776426089635e-12,0.017809181503299062,9.959080897716914,0.24207860750305304,VertNonMammal,0.25083228802446655,1.5878245256973031,59.50362884407117,Alpine swift (Apus melba)
1.2205799390530897e-18,2.047826305950482e-15,0.0001569095324114104,0.2285903892352589,3.3703405234139234,VertNonMammal,0.608956608952114,1.6252920127567878,23.29425826481972,Collared flycatcher (Ficedula albicollis)
0.0018432531867485491,5.2309806708132575e-11,0.002072174529811377,9.999999999981137,0.0008599997715849407,Invertebrate,0.3470730564436151,0.0008655228451186901,-5957.448406355633,Hydra (Hydra magnipapillata)
7.603475268546598e-16,1.948876642265093e-11,0.0013429554870528616,9.763284325266088,0.22110134418816446,PlantTree,0.5515909242627726,0.8682379283623598,90.89762726627623,Scots pine (Pinus sylvestris)
0.27189775628917034,0.08191529736746067,9.468586665690177e-06,0.5038733188504075,5.723157533280241e-27,Invertebrate,0.9354804862768514,0.0019441898372712738,-71.72078860123898,Red gorgonian (Paramuricea clavata)
0.06888938524647421,0.004885114500618717,3.472965419503384e-05,0.6348550661434968,0.10048987968425306,Human,0.9878928325639185,0.0030590596932483505,-249.75581575854278,Swedes born in 1881 (Homo sapiens)
2.1658421168667858e-16,5.448845826599043e-15,0.09985025945155782,2.3333224162616e-21,0.07139374679957597,VertNonMammal,0.14544823912991467,0.18244220580455559,25.91177321682068,Mute swan (Cygnus olor)
5.501269683031527e-13,0.24993659499032825,8.125922964171338e-07,9.57204542013963,1.6400265625817363e-09,VertMammal,-3.939692637389136e-05,0.022584875717842574,2.3792180292462923,Tundra vole (Microtus oeconomus)
1.1236028926843431e-13,7.18806909634875e-16,0.003084150962829528,9.498397627200815,0.22766838124609842,Invertebrate,0.8315893156896256,0.09603350668127093,21.87565470229292,Nematode worm (Caenorhabditis elegans)
1.0168846064413042,7.508745004673103e-12,0.028962523169832537,1.9668049426650507,0.07006253709255003,VertNonMammal,0.6284940160918445,0.058651843382362734,10.03133426053757,Freshwater crocodile (Crocodylus johnsoni)
0.5467783769197948,1.4914381797636173e-06,3.1632428636140428e-06,0.7794070872213686,4.087694833179645,PlantNonTree,0.6806550999376191,0.04293678985522809,8.759403272956064,Hypericum (Hypericum cumulicola)
0.26253893770147935,0.1813518557232827,0.15606455278994305,4.297053238552346,3.0811154328620196e-19,PlantNonTree,0.9999380183671353,5.340526233663558e-07,-59.62936634481376,Armed saltbush (Atriplex acanthocarpa)
0.5547954409969185,2.8809548895719984e-17,1.6568050705675177e-06,0.21945393138344546,1.8242835790875562,VertMammal,0.8822419231747287,0.0031669370895579274,-7.50267985746796,Yellow-bellied marmot (Marmota flaviventris)
0.09547552703573058,5.812803564927504e-28,0.009526624792480535,0.117808187256998,0.016928013326446792,PlantNonTree,0.9517688665144233,0.001492452395944737,-323.92063635032457,Geonoma palm (Geonoma orbignyana)
0.304858516383972,2.0597996682419395e-09,9.113030863572073e-10,0.07610392702396836,3.89587348216338e-09,PlantNonTree,0.13627226175154483,0.050915585154257974,8.742617701770783,Yellow cryptantha (Cryptantha flava)
1.889052039024889e-15,2.700070224544901e-13,0.0050299416346816,9.981465158166337,0.07614869909570732,Invertebrate,0.43945213232732694,0.38803832846533065,98.88761762317456,Water flea (Daphnia longispina)
0.5237458135054501,2.837285586810473e-17,0.030005240376492905,1.0880391134450085,0.2896584563942224,VertMammal,0.9626797483238188,0.0024080962143173206,-21.910417298125978,Soay sheep (Ovis aries)
4.0388189735233216e-20,2.3928696802714224e-18,0.03266193609432408,0.8361580939363329,0.15623234781598613,VertMammal,0.221227684683595,0.812460823698832,52.08303173572115,Red deer (Cervus elaphus)
7.3439004358487315e-19,3.5835102426453927e-16,0.02656517728331561,9.999930816307273,0.25018911640860036,VertMammal,0.2362287730442606,1.070367650548038,44.87055105411629,Roe deer (Capreolus capreolus)
2.418187856852595e-12,2.0369852788434486e-14,0.01716049838149655,9.999999905611618,0.07903060867946532,Invertebrate,0.6464245616847796,0.058031653254013216,9.715532635757384,Human louse (Pediculus humanus)
0.4606644746889528,0.05101704065735601,0.0005068643691472436,1.2352136172282484,0.4622565840514889,VertMammal,0.9439236349352281,0.004597184124914106,-23.07764516256031,Lion (Panthera leo)
0.5849660036393894,0.04048603692176972,0.008073000281323696,0.6847150682611202,1.3659596950974635e-14,PlantTree,0.9909173696420872,0.0008224086031606764,-88.10411112494252,White mangrove (Avicennia marina)
0.07686742659336314,4.35242552236246e-18,9.17176428874101e-05,0.32086463303555524,0.1236627939709112,VertMammal,0.569266758334086,0.8134921171437092,96.83811479162362,Killer whale (Orcinus orca)
